Position,Rating,Review Title,Role,Pros,Cons
1,5,Nice place to work on,Engineer,great senior and good career path,lot of urgent task to do
2,4,Playstation,Marketing manager,Its PlayStation - whats there to say,Japanese Company - top down management
3,5,Work life balance,Graphic designer,Where can you play and work at the same time~ Fun environment and diverse,No con cus it was really fun working there
4,1,One of the worst,Anonymous employee,Small perks like freebies once in a while.,"50% of immediate co-workers are assassins who have no qualms backstabbing you to gain favour with the Japanese management. Japanese management side with each other and help each other to promote. Extreme favoritism and bias-ness, no career progression for you no matter how talanted you are if you don't bootlick them. Super manual jobscope that can be eliminated with better systems. Decent starting pay but you won't get any higher without bootlicking as well. Make tons of excuses to deny promotion yet promotion is granted to best friends and bootlickers who have minimal contributions. If you're new or young, forget about trying to make an impact as they deem you to be inexperienced and your word can't be taken for. Horrendous company."
5,2,Traditional working culture,Product manager,"There's always something exciting happening, and if you're a PlayStation fan, you'll love just being in the company and a part of it. It's impossible to get bored due to the fast-changing pace.","Traditional Japanese working culture is prevalent due to largely Japanese leadership. E.g. Rigid rules, hierarchical, poor work-life balance, yes-man employees are preferred, etc. There is also bias based on gender and nationality which anyone can infer from their upper management structure. Internal processes and tools are manual and outdated, which is surprising for a tech company."
6,5,Gaming world,Senior designer,High technology and services receivers to family entertainment professionals.,"Construction director as Playstation events in all kind of rich, family home users."
7,2,"Exciting products, but flat organization.",Manager,Produces amazing hardware and exciting software,"Flat organization, micro-manage, and quite political."
8,3,Good place,Intern,Good salary despite long hours,None though if there's 1 its the long hours
9,3,Decent,Tester,Pay well. Good benefits. Progress,Hard work and you're expected to do overtime
10,5,Great place to work!,Software engineer,"Great benefits, great pay, and you get to play video games.",None that I can think of
11,3,"Low salary, not passionate co workers",Marketing specialist,Working From home policy. I loved it,Salary was a disaster. I get paid â€¦ like a â€¦
12,5,Best place I have ever worked,Producer,Best place I have ever worked,Being in central London with long commute times
13,3,Ok,Customer service representative,Colleagues are the best part of it,"Stress, hours, not enough pay"
14,5,Good Place to Work For,Senior data scientist,Work life balance is good.,Pay band is a bit lower compared to other tech companies.
15,2,"Good benefits, hard progression",Quality assurance,Great benefits - Friendly QA teams - Process driven,- Career progression is difficult (large QA teams) - Too many managers with different views and values - Pay is incredibly low for industry standard - Overly risk averse so new ideas or suggestions are blocked - Managers use tester's mistakes a scapegoats for their lack of project involvement
16,5,Great place with wonderful benefits,Business compliance analyst,"Very competitive team, great benefits, creative culture",too global with timezone difficulties and restrictions
17,4,Good but messy,Data scientist,"Fully remote
Great WLB
Free Games","Reorgs
Lack of communication
Sometimes too slow
Glut of middle management"
18,5,When It Comes to Working in Tech It Is One of the Best,Ux-ui designer,"I really enjoy working at PlayStation. There are many great designers in the org both in America and Japan. These individuals inspire with their cool designs and help newer designers grow and develop their skills . I love the sense of community the workplace has, I came from an agency so it was great surprise.",You probably won't get a major salary like something compared to Apple or stock options but it still has a good salary and the benefits are good too.
19,4,Good company. Ok pay,Associate manager,"31 days holiday
Good work life balance","Impossible to get a promotion
Pay is on the lower end"
20,4,Great Place Boring Projects,Associate animator,"Great office, great environment, great people",Mostly motion capture face and body work
21,4,Great work life balance,Systems coordinator,"Plenty of resources to build your own growth. Great team,","Limited career growth, little promotion opportunities."
22,5,Great place to work,Director,Inclusive and friendly culture at work,Lack of aggressive growth strategy overall
23,5,Great Place to Work,Client solutions specialist,"Good life balance, good benefits",Leadership sometimes might not make the best decisions
24,5,Great Experience,Anonymous employee,"Benefits
Pay
High potential for growth",No cons at this time
25,3,It was good but he was not paying me what actually I gets,Play boy service,The company was good and company clients were also good,Company cuts incentives which was provided by the clients
26,4,"Great people, horrible management",Product manager,"Good people at the company
Relatively fast promotion cycle for high performance","Management is full of coasters, have no real direction"
27,5,Good company,Risk analyst,â€¢great benefit if you're a gamer.,Didn't see much of the team.
28,3,Overall a good company depending on your department,Program manager,An amazingly talented team globally,Siloed and difficult to deliver changes across technology and business processes
29,4,"Traditional company, great values",Systems engineer,Good work life balance,Not very competitive with Pay
30,3,You will be vanished,Software qa engineer,Plenty of all kinds of technologies mixed together. Good place for getting experience.,Poor low- and mid-level management with the old school has been in place for decades. Most of the working class don't care. It's nearly impossible to get promoted even if you work like a horse. Have to work after hours for free and be in 2-3 places at the same timeâ€”tons of irrelevant meetings.
31,4,"Great Work Culture, Poor Career Growth",Associate 3d artist,Great work culture. Friendly colleagues and bosses. Good work-life balance,Poor career growth opportunities. Need to do personal work outside of working hours for a chance at career growth
32,5,in general is very good company,Anonymous employee,"Competitive salaries, comprehensive health benefits, and exclusive access to the latest gaming technologies and titles are some of the perks employees enjoy.","The fast-paced and high-pressure environment can be demanding, with tight deadlines and high expectations for performance and innovation."
33,4,Work culture,Demand planner,Good support from senior management,Too much work less time
34,5,Lots of Opportunities,"Senior manager, learning and development","Due to growth, there are amazing opportunities to make impact if you're savy",Can be hard if you're not a self starter
35,4,Gaming,Marketing manager,If gaming is your passion. You should definately working here,Little area for carrier expectations
36,5,"Relaxed, supportive work environment",Anonymous employee,"Great bosses, great offices and perks. Free food etc.",Not flexible on holidays and hours etc
37,5,Love it here,Senior analyst,Best place I've worked before,Surprisingly corporate / can be political
38,4,Good company,Communications manager,Great team and enjoyable work,Slow progression and some silo'd teams
39,5,Promotes from within & great benefits,Operations,Great people making fun games with passion.,"Crunch, hard to balance work life at times."
40,4,good place to get a view of the playstation business,Anonymous employee,Lots of opportunities to get involved with,big company with a big company layout
41,3,good,Senior ux researcher,good work life balance and culture,pay is a bit too low
42,5,Great company to work for,Senior manager,Most teams and staff are friendly and professional. Good autonomy.,"Pay is on the low side.
Corporate politics."
43,2,Proceed with caution,Producer,"Great people, lots of history and culture, Everyone believes in the brand, lots of hardware imitative support. Fun collaborative atmosphere.","Poor Management, limited employee growth opportunities with few paths for advancement, tenured employees unwilling to accept change or growth. Lots of Silos, no top down transparency, tons of inner departmental politics, cannot trust senior departmental leadership."
44,5,"Great place to work, good package and benefits.",Programmer,Work on the latest Playstation platforms first.,Only work on proprietary tech which can hold back when looking for future roles.
45,5,Great company,Department assistant,Great work life balance Perks People are amazing,None that I saw in a years time
46,4,Fair Compensation,"Senior manager, operations","Good manager, fun place to work.",Hard to get promoted. Need to be very proactive about advancements.
47,2,Don't go if you have ambition,Facilities coordinator,"Gym, free food, cheap bar",No room to grow or progress
48,4,Playstation is a great place to work in London,Digital designer,"Great team, sense of community and good company benefits",pay is not to an industry standard for a designer
49,5,its good,Software engineer,its good for workers more money little time pay jobs less tax,make tired more work work hard full time not part time
50,3,Retired PlayStation veteran,Staff engineer,"Laid back, and good perks at the office like free lunch and snacks.",Management is inflated and a mess. Most in leadership are non technical. Intolerant to non woke beliefs.
51,4,"Great company, a lot of politics",Software engineering manager,Great products Great people Exciting technology,"Politics is a killer, Very top heavy"
52,5,Good,Sales executive,Really nice work culture and support,Not as soon I have found till now
53,3,Good job - Bad stability.,Account coordinator,WfH flexible Fun exciting work Good team Great opportunity for professional connections,"Unreliable senior management Strong promotion of a 'family unit' whilst constantly putting employees under insane pressure Pretty lonely job, as the WfH flexibility means barely anyone shows up at the office Contracted employees are often told they're being kept on, but will remain contracted for years."
54,5,Best place I've worked,Programmer,Great support from corporate. Cool projects,Slower moving than smaller tech firms I've been at.
55,1,not great,Anonymous employee,good work life balance overall,terrible leadership with lack of empathy
56,4,PlayStation Plus,Producer,"Great benefits, team and overall atmosphere","Lots of internal secrecy, pay could be better, office feels empty post pandemic"
57,5,I love working here,Sr artist,"the people here are awesome, especially the people on my team. the last 3 years have been work from home which I don't like but the people make it a fun place to work.","the cons for me is working from home cause you don't get the same inspiration as you would if you worked next to someone that you can see what they do as they are doing it. when we worked in the studio we were able to see other peoples work and be inspired at the moment to do better. Also even though ""crunch"" is only about 3 months, it is a rough 3 months. in my opinion this is light compared to other studios. Every studio is going to have crunch."
58,4,Good employer with good benefits,Department manager,Fair salary with a good benefits package,Companywide communication could be better at times
59,3,Review,Hr manager,"Good company, recommend to work with","Low salary, not often salary rise"
60,5,Great company,Crm lead,"Offices are in a good location with a canteen

Flexible working",Large company so can be challenging to get stuff done at times
61,5,Amazing Experience,Software engineer,"Was able to really grow as a developer
go to see a lot of games get made
cool swag",nothing major or alarming I would put as a con
62,5,Best Place to Work,Anonymous employee,Working around people who love what they do and are the greatest at it. Its always exciting.,Gaming industry is tough currently.
63,3,Lay offs,Workplace experience coordinator,"Good benefits
Good culture
Diverse groups",They randomly lay off 1000 people at a time every 6 months or so
64,4,Safe Inclusive work Culture,Qa test lead,"Free games, free food, and good opportunities if you are willing to work within an inclusive and collaborative environment and team.",Sometimes great interview techniques can impress enough to get you the job/role this can do more harm than good if you are not prepared to learn the role.
65,4,Good,Principal tpm,"good company
good benefits
good salary
good culture",not many negatives in the company
66,4,Greatest place to work on earth?,Field marketing manager,"Flexible schedule
Great team atmosphere
Networking opportunities
Access to latest innovative hardware/software","Little room for growth
Minimal senior leadership interactions
Niche role with limited guidance"
67,4,fun workplace,Senior ui developer,very lovely people and chill place to work at,expected more benefits from products
68,5,Great company to work for,Principal software engineer,"Good culture, great benefits and team","Below average pay. As in many large orgs, bureaucracy can get in the way, slow moving."
69,5,Great place to work,Assoc software engg manager,Awesome culture and great place to work,Need option for free food
70,4,Cool company,Senior partner marketing manager,great place to work and even more if you're a gamer.,same problems/challenges than any other multinational company.
71,4,Manager,Manager,"Great group of people, supportive and inclusive environment","Bureaucracy, red tape, no desire for evolution"
72,5,Sr,Sr. network engineer,Free PlayStation nice place to work,Nothing i can remember it
73,5,Best place to Work,Technical artist,So many benefits were given,Hard to come up with cons
74,3,Ok,Marketing,Nice place to work in the city,Culture depends on team heavily
75,4,Very good,Business analyst,Very easy going community and outlook,None that I can think of.
76,5,Great pay,Crafter,Great pay at playstation HQ,Big Large company at playstation
77,5,Love It Here,Anonymous employee,"Innovative Environment
Brand Prestige
Collaborative Culture
Career Development Opportunities
Global Reach","Work-Life Balance Challenges
Bureaucracy in Decision Making
Risk of Burnout"
78,5,Corporate Culture,Anonymous employee,I thought it was a great place to work and felt rewarded and appreciated for my contributions.,I have nothing negative to say about my experience.
79,1,Weak leadership & pay & HR team,Director,Great brand name for your resume,"Under the hood, total smoke & mirrors. I was literally threatened over my disability by HR - ableism at its finest. They give bonuses in SF but not to other offices. Secret layoffs. Bad health insurance. Everyone is overworked except the c suite. Japan is a nightmare to work with since they won't just say what they mean because they're still pissy they're no longer HQ. People aren't fired for performance when they should be."
80,4,Great place to work,Global senior marketing manager,"- Great people
- Great games
- Decent culture","- Hard work
- Late night
- Highly Matrixed"
81,5,Conduce are big project,It engineer,"Conferees, good boss and nice staff",guys i just interesting what job in this site
82,5,Best job I've ever had,Senior producer,"Culture, benefits, team, projects, hybrid",Slow decision making led to delays
83,3,"Good pay, too much standarization and bureaucracy",Senior data analyst,"Pay is good, company has good benefits","Too much standarization and difficult to push things forward, the company is too vertical."
84,3,Pros and Cons,Sales assistant,The job is flexible and convenient,The salary is not nearly enough
85,4,Good for life balance,Lead technical artist,Good for life balance so far,"If you are looking to work in the video game industry, this company is not in the video game industry. This company's work is more like VFX."
86,4,Ok,Project manager,Good place to work and strong leadership,Hours can be long during busy periods
87,5,Great place to work and play,Anonymous employee,"Great on site facilities, supportive team, creating incredible products, good work life balance with flexible working options",It can take a long time to get processes changed due to the company size
88,4,comfortable,Software engineer,You feel comfortable with the colleagues,So many things to do not even your work
89,3,Challenging Environment,Senior program manager,"Great Benefits, co-workers. Cutting edge technology","Politics, weak leadership, dated processes"
90,5,Great Place to work,Senior systems analyst,"Very friendly team and office environment is very collaborative,",Oldest Startup ever be patient
91,5,welcoming and supportive environment that encouraged collaboration and growth,Anonymous employee,Positive Work Environment Strong Leadership Opportunities for Growth Commitment to Excellence Innovative Culture Team Collaboration Employee Benefits and Perks Recognition and Appreciation,None - do not have any cons to report about
92,4,Good company,Software development engineer in test (sdet),"Competitive salary.
Work and personal life balance.","Employee Termination.
Legacy platforms.
No motivation events."
93,4,"Solid company, low pay",Digital analyst,"Great benefits, big company, advanced technology",Can be hard to get a raise or level-up. A lot of complacency from certain studios.
94,2,Good and fun company but most people there are egotistic,Software engineer,Fun company Free games Good company name,"Low salary as PlayStation won't pay much because you are working for ""PlayStation"" so best used as a stepping stone People there are quite egotistic and not that easy going at work"
95,5,Nice place,Designer,Nice place to work. Work life balance was great,No real cons to speak of
96,4,Very good,Anonymous employee,Good pay and worklife balance,Bad manager if you are unlucky
97,4,"Good work, but client based.",Associate technical artist,The culture is very good. very relaxed and others are always willing to teach and learn from each other. - Able to work on AAA titles,Not a lot of work if there are no projects - 1
98,5,Good Environment,Animator,"- Good team members
- Good management
- alot Good benefits
- Great environment
- super nice and understanding HR","- location abit far
- no Hybrid yet
- sometimes The project Not as exciting"
99,4,Nothing to say,Sony camera expert,You will earn a lot of money,You might get fired by doing a mistake
100,5,Great place to work,Senior business analyst,"Good work life balance, pretty modern for a relatively older company",Legacy processes can make things slower
101,4,"Great place to learn, not a great place to build a career",Anonymous employee,Great place to develop and learn as a junior/mid - Wider company culture and work/life balance is Good - Talented colleagues in pretty much every department - Having The company on your CV makes a difference,"Pay is Not Great compared to most other games companies - Can quickly hit The ceiling for development and learning - Tendency to Not innovate or take risks, especially amongst those who have been at The company for a while"
102,1,Dead Office - London,Data analyst,"Great benefits on paper - gym, free food, cheap bar, bonus scheme",Very slow paced Very remote with zero collaboration No want to listen to suggestions for improvement
103,4,Good,Retail sales assistant,Good salary as well as employer,None I can think of at the moment
104,4,Old tech,Manager,"Nice people, cash bonuses were high",Pretty chaotic org with globalization. Pay is low relative to tech peers.
105,5,Great Place,Director,"PlayStation is an iconic brand, and people love us. Our mission is to push the boundaries of play and ultimately to make people happy. We aren't solving for world peace or saving lives so the stress isn't at a crisis level. There's just enough to fuel your days with some excitement. Working here is different than any company I have ever worked for. First, people of all backgrounds seem to want to work here--there is no shortage of people applying to our jobs. Second, we have incredible benefits at an affordable cost. And our benefits are expansive--IVF coverage, backup child care, etc. --amazing! Third, the people PlayStation is bringing in are best-in-class leaders who are helping shape the future of the company. It's a great time to join. Forth, we stand by the communities we live in. PlayStation committed $100M to social justice to improve lives and increase opportunities for underrepresented groups. Our commitment at PlayStation to DE&I is like nothing I have ever seen. Fifth and final comment: the people here are very supportive of one another and friendly. It's a happy workplace.","PlayStation at times can seem like a giant start-up. There's a lot of transformational work happening. If you are someone who wants to go where everything is perfectly laid out for you, this isn't the right place to work. Critical thinking skills are needed here, so if you don't want to use your brain, this isn't the gig for you."
106,5,Great place for gaming,Growth strategy manager,great value and nostalgia of gaming,can be very slow moving and bureaucratic
107,1,Engineering,Software engineer,Was a stable enough company,Recently laid off 900 employees
108,5,good,Video game designer,amazing good pay great companie,no cons all good ok
109,5,Great place!,Assistant manager,Great culture and company environment,Not much that I can think of.
110,5,Good Work Culture,Staff engineer,Good Work Culture and on par market salary,No Stocks and RSUs for full time employees
111,5,Great Entry Job,Certops,"Work ethic is high. Company look after you well with a lot of benefits including raffles, parties and health insurance.",Not much of career progression
112,1,Ranking Tom,Vp of sales,A nice thing that. Nothing bad to say,Everything curry and nice all the time
113,4,Great culture,Associate manager,Very well looked after by leadership and good communication.,Compensation is a bit behind tech industry standards.
