Position,Rating,Review Title,Role,Pros,Cons
1,5,Nice place to work,Senior programmer,"Great people, good work-life balance.",Relatively low salary compared to other company.
2,4,"Great work culture, welfare and people, but low compensation",Junior gameplay programmer,"- Comp time for OT - People are great, work culture is respectful - Inter-project mobility. I never hear of People being let go at the end of a project","- Bonuses are basically non-existent so far during my time here. Company wasn't doing well last year. - The pay raise last year was extremely low, at 1.7% for me, and it is known that there were 0% increases for certain job levels. - In my project, it felt understaffed but overdemanding. All of us had to do more than was healthy for work-life balance, and even though there was comp time for OT, not being able to spend all of it was an actual concern as the project could not afford some people to leave. It should be noted that I have never heard of leave being unapproved for this reason however, but there is stress coming from expectations and sense of responsibility to consider."
3,4,Comfortable enough,Ui artist,"Depends on the team, but I am given a lot of freedom on how to solve tasks. HR Does take care of people and organises events for welfare.",Short timeline means you fix stuff even if it's spaghetti code or temp fixes. Many temp fixes builds up tech or design debt that creates a cursed problem.
4,3,AAAA,Junior user researcher,"Chance to work on some good games and get good experience
Clubs can be a fun addition to work","Slow growth and challenge
Politics exist as with large companies"
5,4,Fun plave,Level designer,Young and lively environment to work in,"No 13 month bonus, unable to have quick career progression"
6,4,A solid employer,Senior ui artist,The possibility of working on big projects and being around amazing developers,"Work can be very restricted, they want you to do ""your"" thing, without much space for lateral movement"
7,3,"Great culture, low pay",Anonymous employee,"great culture, good HR, great welfare","low pay, some hierarchy involved some times"
8,5,"Level artist""Assassin's Creed Red""",Model artist,"As a model artist, it's challenging to start level art. By figuring out a lot of methods and asking colleagues and team leaders for advice, I was able to get started quickly and complete the project tasks successfully.All my supervisors have recognised my personal attitude towards work and my ability to learn.","Due to the individual open world level art experience is too little, can only do some medium difficulty missions, too complex challenge of the mission still need to experience accumulation.Learn more to improve"
9,4,Very nice company to work fir,Lead animator,"I was lucky enough to work with some talented artist, company really care about the people there",Work can be a bit caothic sometimes
10,4,Good company to work in,Senior ux designer,"Interesting projects
Non-toxic multicultural environment
Quick interview process","Bad planning
Bad game direction"
